,dateKind,dateName,isHoliday,locdate,seq
0,1,신정,Y,20160101,1
1,1,설날,Y,20160207,1
2,1,설날,Y,20160208,1
3,1,설날,Y,20160209,1
4,1,대체공휴일,Y,20160210,1
5,1,삼일절,Y,20160301,1
6,1,국회의원선거일,Y,20160413,1
7,1,어린이날,Y,20160505,1
8,1,대체공휴일,Y,20160506,1
9,1,석가탄신일,Y,20160514,1
10,1,현충일,Y,20160606,1
11,1,제헌절,N,20160717,1
12,1,광복절,Y,20160815,1
13,1,추석,Y,20160914,1
14,1,추석,Y,20160915,1
15,1,추석,Y,20160916,1
16,1,개천절,Y,20161003,1
17,1,한글날,Y,20161009,1
18,1,기독탄신일,Y,20161225,1
19,1,신정,Y,20170101,1
20,1,설날,Y,20170127,1
21,1,설날,Y,20170128,1
22,1,설날,Y,20170129,1
23,1,대체공휴일,Y,20170130,1
24,1,삼일절,Y,20170301,1
25,1,석가탄신일,Y,20170503,1
26,1,어린이날,Y,20170505,1
27,1,대통령선거일,Y,20170509,1
28,1,현충일,Y,20170606,1
29,1,제헌절,N,20170717,1
30,1,광복절,Y,20170815,1
31,1,임시공휴일,Y,20171002,2
32,1,추석,Y,20171003,2
33,1,추석,Y,20171004,1
34,1,추석,Y,20171005,1
35,1,대체공휴일,Y,20171006,1
36,1,한글날,Y,20171009,1
37,1,기독탄신일,Y,20171225,1
38,1,1월1일,Y,20180101,1
39,1,설날,Y,20180215,1
40,1,설날,Y,20180216,1
41,1,설날,Y,20180217,1
42,1,삼일절,Y,20180301,1
43,1,어린이날,Y,20180505,1
44,1,대체휴무일,Y,20180507,1
45,1,부처님오신날,Y,20180522,1
46,1,현충일,Y,20180606,1
47,1,전국동시지방선거,Y,20180613,1
48,1,제헌절,N,20180717,1
49,1,광복절,Y,20180815,1
50,1,추석,Y,20180923,1
51,1,추석,Y,20180924,1
52,1,추석,Y,20180925,1
53,1,대체휴무일,Y,20180926,1
54,1,개천절,Y,20181003,1
55,1,한글날,Y,20181009,1
56,1,기독탄신일,Y,20181225,1
57,1,1월1일,Y,20190101,1
58,1,설날,Y,20190204,1
59,1,설날,Y,20190205,1
60,1,설날,Y,20190206,1
61,1,삼일절,Y,20190301,1
62,1,어린이날,Y,20190505,1
63,1,대체공휴일,Y,20190506,1
64,1,부처님오신날,Y,20190512,1
65,1,현충일,Y,20190606,1
66,1,제헌절,N,20190717,1
67,1,광복절,Y,20190815,1
68,1,추석,Y,20190912,1
69,1,추석,Y,20190913,1
70,1,추석,Y,20190914,1
71,1,개천절,Y,20191003,1
72,1,한글날,Y,20191009,1
73,1,기독탄신일,Y,20191225,1
