일시,평균기온,최고기온,최저기온
20160101000000,1.2,4.0,-3.3
20160102000000,5.7,9.5,1.0
20160103000000,6.5,9.4,5.1
20160104000000,2.0,5.3,-2.5
20160105000000,-2.7,1.5,-4.8
20160106000000,-1.7,1.7,-4.9
20160107000000,-3.4,1.4,-5.9
20160108000000,-3.3,1.0,-6.9
20160109000000,-2.1,2.4,-6.2
20160110000000,0.3,3.8,-2.7
20160111000000,-3.8,0.9,-6.5
20160112000000,-5.2,0.7,-9.1
20160113000000,-4.5,0.1,-8.2
20160114000000,-3.4,1.3,-8.4
20160115000000,-0.4,5.3,-4.3
20160116000000,-0.2,2.8,-2.1
20160117000000,1.7,5.4,-0.7
20160118000000,-6.3,0.4,-12.3
20160119000000,-12.8,-8.9,-15.1
20160120000000,-10.5,-5.2,-14.5
20160121000000,-7.1,-2.3,-10.2
20160122000000,-7.6,-3.8,-11.1
20160123000000,-11.5,-8.3,-16.0
20160124000000,-14.4,-10.5,-18.0
20160125000000,-9.4,-3.4,-14.3
20160126000000,-3.3,1.7,-8.5
20160127000000,-1.1,4.3,-4.7
20160128000000,-0.5,3.5,-5.6
20160129000000,1.9,5.4,-1.4
20160130000000,0.6,5.2,-2.5
20160131000000,-3.9,0.3,-6.5
20160201000000,-6.0,-1.0,-9.1
20160202000000,-5.3,0.9,-10.0
20160203000000,-2.4,4.0,-8.3
20160204000000,-0.7,3.9,-4.0
20160205000000,-2.2,3.4,-6.8
20160206000000,-3.1,2.0,-6.2
20160207000000,-2.9,3.5,-8.3
20160208000000,1.3,5.5,-4.3
20160209000000,0.3,5.5,-3.9
20160210000000,2.7,10.7,-4.3
20160211000000,8.1,13.5,1.6
20160212000000,8.4,10.0,6.8
20160213000000,11.0,14.4,5.8
20160214000000,-2.6,5.8,-6.8
20160215000000,-5.8,-2.3,-10.0
20160216000000,-2.7,1.1,-6.7
20160217000000,0.0,5.4,-5.2
20160218000000,3.5,7.8,-1.4
20160219000000,2.3,4.4,0.1
20160220000000,1.3,6.3,-2.5
20160221000000,-0.6,4.4,-4.2
20160222000000,1.1,4.2,-2.2
20160223000000,0.7,4.5,-4.5
20160224000000,-3.0,2.2,-6.8
20160225000000,-0.2,5.7,-5.8
20160226000000,2.2,7.5,-3.2
20160227000000,3.3,8.1,0.5
20160228000000,0.7,6.9,-2.6
20160229000000,-3.8,-1.1,-5.9
20160301000000,-2.7,2.1,-7.5
20160302000000,3.1,8.1,-2.2
20160303000000,8.1,13.9,4.4
20160304000000,13.2,20.3,6.4
20160305000000,11.3,13.5,9.1
20160306000000,7.9,12.9,4.3
20160307000000,8.1,12.2,4.8
20160308000000,2.7,7.0,-1.4
20160309000000,0.3,5.3,-2.7
20160310000000,-1.1,3.1,-4.3
20160311000000,-0.5,4.6,-5.5
20160312000000,2.0,6.4,-3.3
20160313000000,3.7,6.5,1.9
20160314000000,4.7,9.6,1.3
20160315000000,5.2,12.4,-1.0
20160316000000,7.5,13.8,2.7
20160317000000,9.3,14.7,2.0
20160318000000,13.4,20.1,8.8
20160319000000,11.4,18.1,6.6
20160320000000,10.6,17.5,4.9
20160321000000,9.9,16.1,5.5
20160322000000,8.0,13.8,3.5
20160323000000,8.2,13.8,3.8
20160324000000,7.2,12.7,1.6
20160325000000,7.1,12.6,2.1
20160326000000,6.5,12.6,2.1
20160327000000,7.2,13.1,2.2
20160328000000,9.8,17.4,2.3
20160329000000,11.3,17.1,7.6
20160330000000,11.5,18.3,7.0
20160331000000,13.5,21.4,6.0
20160401000000,15.3,23.8,7.3
20160402000000,15.0,21.7,9.6
20160403000000,10.7,12.7,8.2
20160404000000,12.3,19.8,5.1
20160405000000,11.4,18.1,5.9
20160406000000,14.4,22.9,6.6
20160407000000,14.1,20.6,10.5
20160408000000,11.1,18.7,7.8
20160409000000,10.7,14.1,7.4
20160410000000,13.4,20.7,9.3
20160411000000,12.5,19.4,5.7
20160412000000,14.1,19.4,10.3
20160413000000,15.6,21.4,11.4
20160414000000,12.4,18.6,9.3
20160415000000,15.0,23.1,8.1
20160416000000,14.9,20.7,9.8
20160417000000,10.8,14.5,8.3
20160418000000,11.2,18.6,7.1
20160419000000,12.0,19.2,6.5
20160420000000,14.3,20.9,10.1
20160421000000,13.5,16.9,10.3
20160422000000,13.5,18.6,10.1
20160423000000,13.5,19.8,7.8
20160424000000,15.5,23.7,8.1
20160425000000,17.2,25.3,10.2
20160426000000,21.1,29.6,12.1
20160427000000,17.2,20.7,14.5
20160428000000,17.2,23.0,12.4
20160429000000,16.2,22.6,10.9
20160430000000,15.9,20.4,10.8
20160501000000,18.8,26.0,12.2
20160502000000,21.1,28.4,16.5
20160503000000,12.9,17.6,8.9
20160504000000,15.7,20.6,10.2
20160505000000,18.9,26.9,10.2
20160506000000,16.3,18.6,13.0
20160507000000,16.5,22.6,10.7
20160508000000,19.4,26.8,11.6
20160509000000,20.2,25.4,16.3
20160510000000,14.5,18.1,12.5
20160511000000,16.4,23.5,10.4
20160512000000,17.8,24.0,12.1
20160513000000,18.6,25.4,12.7
20160514000000,20.2,26.9,15.1
20160515000000,17.4,24.2,12.3
20160516000000,15.9,21.9,10.8
20160517000000,19.3,26.6,10.9
20160518000000,22.3,29.5,13.5
20160519000000,24.3,31.9,16.3
20160520000000,24.0,31.6,16.8
20160521000000,24.1,30.4,17.8
20160522000000,24.7,31.7,17.6
20160523000000,23.3,29.4,18.3
20160524000000,16.8,21.8,15.4
20160525000000,19.7,24.4,15.3
20160526000000,19.4,22.9,17.5
20160527000000,20.9,27.1,14.8
20160528000000,21.7,28.0,17.2
20160529000000,21.5,27.6,17.2
20160530000000,22.1,28.9,16.9
20160531000000,21.6,27.6,17.4
20160601000000,23.3,29.9,17.1
20160602000000,23.2,29.1,17.2
20160603000000,22.2,27.7,17.6
20160604000000,21.2,26.3,18.2
20160605000000,24.7,32.2,17.3
20160606000000,23.3,28.4,20.8
20160607000000,21.7,25.9,19.6
20160608000000,22.1,27.7,18.2
20160609000000,24.1,31.3,17.8
20160610000000,24.6,31.3,20.2
20160611000000,23.5,26.5,20.9
20160612000000,23.5,26.7,19.9
20160613000000,23.5,29.6,19.4
20160614000000,23.8,29.5,19.7
20160615000000,20.9,24.5,17.4
20160616000000,20.9,24.9,18.6
20160617000000,23.8,29.1,18.6
20160618000000,24.5,29.9,20.1
20160619000000,24.1,29.3,20.3
20160620000000,24.7,30.7,19.6
20160621000000,26.0,31.3,21.0
20160622000000,24.3,30.2,20.9
20160623000000,24.7,29.4,19.6
20160624000000,23.1,25.7,21.1
20160625000000,22.8,26.7,19.2
20160626000000,24.4,30.3,19.4
20160627000000,24.4,29.5,19.9
20160628000000,24.7,29.7,20.4
20160629000000,25.3,30.2,20.9
20160630000000,24.6,26.9,23.0
20160701000000,24.0,26.6,22.0
20160702000000,23.5,27.7,20.6
20160703000000,23.5,26.8,21.1
20160704000000,21.8,24.1,20.2
20160705000000,23.1,24.8,20.2
20160706000000,22.9,26.9,20.3
20160707000000,24.0,28.5,20.1
20160708000000,27.3,32.4,21.2
20160709000000,27.7,32.7,23.2
20160710000000,27.9,33.1,23.2
20160711000000,28.4,33.4,24.8
20160712000000,26.3,30.9,22.1
20160713000000,26.3,29.5,23.2
20160714000000,27.5,32.4,24.0
20160715000000,26.2,29.2,23.7
20160716000000,20.8,23.8,19.8
20160717000000,21.7,23.1,20.4
20160718000000,24.4,28.4,20.7
20160719000000,27.1,32.4,20.9
20160720000000,28.6,32.9,24.0
20160721000000,28.3,32.2,24.9
20160722000000,29.1,34.1,25.3
20160723000000,28.7,31.6,27.2
20160724000000,28.0,30.1,27.0
20160725000000,28.4,31.4,26.4
20160726000000,28.4,31.9,25.6
20160727000000,27.6,28.9,26.7
20160728000000,28.0,30.5,26.7
20160729000000,26.3,28.4,23.4
20160730000000,28.6,33.0,26.4
20160731000000,28.9,32.8,26.6
20160801000000,28.4,32.4,25.8
20160802000000,27.2,31.1,25.0
20160803000000,29.1,34.2,24.0
20160804000000,30.7,35.7,26.0
20160805000000,31.2,36.0,26.5
20160806000000,30.5,34.0,26.6
20160807000000,30.6,35.0,27.0
20160808000000,30.5,35.5,26.4
20160809000000,29.3,33.6,26.4
20160810000000,29.4,34.8,26.1
20160811000000,30.5,36.4,26.1
20160812000000,30.4,35.9,26.4
20160813000000,30.2,35.1,26.8
20160814000000,28.9,31.8,27.3
20160815000000,29.1,34.0,25.8
20160816000000,29.3,34.9,26.2
20160817000000,29.9,34.7,25.1
20160818000000,29.9,34.3,26.2
20160819000000,28.9,33.2,26.6
20160820000000,30.1,34.9,26.5
20160821000000,30.7,36.6,26.9
20160822000000,30.7,36.3,25.8
20160823000000,28.3,33.0,26.0
20160824000000,29.1,32.9,26.4
20160825000000,27.1,32.2,24.0
20160826000000,23.0,28.2,19.5
20160827000000,23.4,29.7,16.9
20160828000000,21.0,24.5,18.3
20160829000000,22.2,27.1,17.4
20160830000000,20.6,24.5,17.9
20160831000000,17.7,19.2,16.1
20160901000000,23.2,28.6,15.8
20160902000000,24.2,29.0,20.6
20160903000000,23.9,28.6,20.4
20160904000000,25.6,29.6,22.1
20160905000000,26.4,31.1,23.0
20160906000000,24.7,29.0,21.0
20160907000000,24.3,28.6,20.9
20160908000000,23.0,26.5,21.5
20160909000000,23.9,29.3,19.7
20160910000000,24.4,29.1,20.0
20160911000000,24.5,28.2,22.1
20160912000000,23.4,27.5,21.4
20160913000000,24.6,30.8,19.6
20160914000000,24.6,28.9,21.4
20160915000000,23.9,29.5,18.8
20160916000000,24.6,29.5,20.4
20160917000000,23.1,28.2,18.5
20160918000000,23.5,28.3,20.2
20160919000000,21.9,27.8,18.2
20160920000000,20.6,26.8,15.4
20160921000000,20.2,25.3,14.3
20160922000000,21.9,27.2,17.5
20160923000000,21.4,27.9,16.4
20160924000000,22.3,28.9,16.5
20160925000000,23.0,29.7,18.6
20160926000000,23.6,28.9,19.7
20160927000000,21.0,23.8,19.1
20160928000000,19.9,21.8,18.7
20160929000000,20.4,24.8,18.2
20160930000000,20.5,23.5,17.7
20161001000000,21.1,25.6,17.5
20161002000000,19.0,22.4,16.7
20161003000000,22.7,27.9,19.6
20161004000000,22.0,29.0,15.6
20161005000000,21.1,27.2,17.5
20161006000000,18.0,23.5,13.6
20161007000000,19.7,24.8,16.5
20161008000000,16.8,21.8,10.3
20161009000000,11.3,16.6,6.5
20161010000000,14.0,21.4,7.4
20161011000000,15.4,21.1,10.0
20161012000000,15.5,20.7,11.4
20161013000000,15.2,21.9,9.3
20161014000000,16.7,23.5,10.5
20161015000000,19.1,27.1,12.4
20161016000000,17.2,19.5,15.4
20161017000000,17.5,21.7,14.5
20161018000000,17.0,24.0,11.2
20161019000000,18.0,24.3,14.0
20161020000000,18.6,25.8,12.9
20161021000000,17.9,22.0,15.7
20161022000000,18.3,22.8,14.5
20161023000000,13.3,17.8,10.6
20161024000000,15.1,20.6,9.0
20161025000000,14.1,17.5,12.5
20161026000000,13.3,16.3,10.5
20161027000000,14.6,20.9,8.6
20161028000000,14.6,18.4,10.2
20161029000000,7.8,11.2,3.5
20161030000000,7.9,15.1,1.6
20161031000000,5.7,8.2,0.7
20161101000000,1.5,6.6,-2.4
20161102000000,4.1,10.5,-2.7
20161103000000,9.1,14.1,4.2
20161104000000,12.3,15.7,8.2
20161105000000,15.0,18.1,12.2
20161106000000,14.0,18.3,11.9
20161107000000,12.8,17.8,8.5
20161108000000,4.1,8.4,0.4
20161109000000,2.1,8.6,-3.2
20161110000000,6.0,9.8,1.5
20161111000000,9.1,14.2,6.2
20161112000000,11.4,16.7,5.1
20161113000000,14.4,18.1,12.1
20161114000000,13.2,15.8,10.2
20161115000000,5.2,10.2,2.5
20161116000000,5.2,12.0,0.0
20161117000000,9.1,16.5,4.0
20161118000000,10.3,14.6,4.9
20161119000000,13.0,18.6,9.9
20161120000000,9.8,15.3,6.4
20161121000000,9.5,14.6,5.1
20161122000000,2.0,8.4,-2.1
20161123000000,-1.8,3.6,-4.8
20161124000000,-2.5,2.4,-6.2
20161125000000,1.0,6.0,-3.5
20161126000000,0.9,2.7,-0.7
20161127000000,3.3,6.6,0.5
20161128000000,1.4,5.6,-1.4
20161129000000,1.7,8.6,-2.8
20161130000000,6.0,9.8,0.7
20161201000000,4.1,7.0,-1.0
20161202000000,1.6,7.9,-3.5
20161203000000,4.5,11.3,-0.7
20161204000000,5.5,9.5,2.0
20161205000000,5.9,10.3,0.5
20161206000000,-1.1,4.3,-4.2
20161207000000,1.7,7.5,-2.7
20161208000000,2.1,6.1,-3.0
20161209000000,1.4,4.2,-2.9
20161210000000,-1.6,3.6,-5.9
20161211000000,-1.1,6.4,-6.1
20161212000000,2.3,6.3,-3.0
20161213000000,3.4,8.8,-0.4
20161214000000,-1.4,-0.1,-2.3
20161215000000,-5.0,-1.5,-7.6
20161216000000,-4.7,0.0,-9.8
20161217000000,2.7,8.0,-2.7
20161218000000,4.9,8.1,2.7
20161219000000,7.2,12.0,4.3
20161220000000,7.6,13.6,4.4
20161221000000,7.9,12.6,4.1
20161222000000,5.5,11.0,1.5
20161223000000,-2.5,1.5,-4.4
20161224000000,-2.4,1.1,-4.3
20161225000000,1.0,6.4,-4.5
20161226000000,2.5,4.4,1.3
20161227000000,-2.3,1.3,-6.3
20161228000000,-3.7,2.6,-8.4
20161229000000,-4.2,-1.1,-7.2
20161230000000,-3.9,1.0,-9.1
20161231000000,0.7,5.7,-3.6
