"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각
"		108",서울,2020-01-01,-2.2,0.3,14:57,-6.5,0:01
"		108",서울,2020-01-02,1,3.8,15:00,-0.7,0:01
"		108",서울,2020-01-03,-0.1,4.6,15:47,-3.4,8:07
"		108",서울,2020-01-04,1.2,6.1,14:50,-2.8,5:12
"		108",서울,2020-01-05,1.3,6.6,14:53,-3.2,8:21
"		108",서울,2020-01-06,3.1,4.6,11:58,0.6,0:53
"		108",서울,2020-01-07,6.3,7.7,23:50,4.2,0:01
"		108",서울,2020-01-08,2.4,8.9,0:47,-0.4,23:36
"		108",서울,2020-01-09,-1.2,2,15:34,-3.1,23:49
"		108",서울,2020-01-10,-0.6,4.2,15:34,-4.3,4:53
"		108",서울,2020-01-11,-0.1,3.9,13:34,-2.6,8:06
"		108",서울,2020-01-12,-1,2.8,15:51,-3.5,6:33
"		108",서울,2020-01-13,-2.9,0.2,14:22,-4.7,6:32
"		108",서울,2020-01-14,-2.3,2.6,14:13,-5.7,6:37
"		108",서울,2020-01-15,-2.7,2.2,15:10,-6.4,7:22
"		108",서울,2020-01-16,-1.7,3.2,14:30,-5.5,8:16
"		108",서울,2020-01-17,-0.6,4.9,14:49,-4.8,7:20
"		108",서울,2020-01-18,0.3,5.9,15:03,-4.1,8:02
"		108",서울,2020-01-19,1.9,5.3,15:10,-0.4,0:03
"		108",서울,2020-01-20,0.7,5.5,13:13,-3.3,23:24
"		108",서울,2020-01-21,-0.4,5.5,15:41,-5.6,8:00
"		108",서울,2020-01-22,3,7.8,14:47,-0.1,0:47
"		108",서울,2020-01-23,4.6,9.9,14:50,0,8:02
"		108",서울,2020-01-24,2.8,7.4,15:34,-1.3,8:16
"		108",서울,2020-01-25,4.3,8.8,12:02,0.6,2:51
"		108",서울,2020-01-26,5.5,11.9,15:16,-0.2,7:47
"		108",서울,2020-01-27,5.9,7.5,14:18,4.8,23:31
"		108",서울,2020-01-28,6.8,9.9,14:42,4.3,2:31
"		108",서울,2020-01-29,6,9.6,14:50,3.2,7:08
"		108",서울,2020-01-30,5.2,10.4,12:49,1.4,8:14
"		108",서울,2020-01-31,3.9,8.9,13:47,1.4,23:57
"		108",서울,2020-02-01,2.6,7.6,15:56,-1.2,7:05
"		108",서울,2020-02-02,1.5,5.3,13:09,-2.1,7:47
"		108",서울,2020-02-03,-0.4,3,14:56,-2.9,23:57
"		108",서울,2020-02-04,-1.6,3.9,14:29,-6,6:35
"		108",서울,2020-02-05,-8.3,-4.9,16:01,-11,7:57
"		108",서울,2020-02-06,-6.4,0.4,14:33,-11.8,6:34
"		108",서울,2020-02-07,-1.7,2.2,15:33,-7.2,1:23
"		108",서울,2020-02-08,-0.1,3.7,16:11,-2.3,8:03
"		108",서울,2020-02-09,-0.5,4.1,14:47,-5.6,7:42
"		108",서울,2020-02-10,4,9.6,15:00,-0.7,6:46
"		108",서울,2020-02-11,6.8,14.6,15:26,-0.5,7:11
"		108",서울,2020-02-12,7.4,8.2,19:28,6.5,12:19
"		108",서울,2020-02-13,6.5,8.7,15:34,4.9,6:56
"		108",서울,2020-02-14,8.1,14.7,16:31,3.2,7:08
"		108",서울,2020-02-15,9.8,15.6,12:50,6.2,7:35
"		108",서울,2020-02-16,-1.4,7.7,0:01,-4.3,22:45
"		108",서울,2020-02-17,-5.9,-3.9,1:30,-7.1,22:58
"		108",서울,2020-02-18,-4.1,1.3,16:08,-8.3,7:45
"		108",서울,2020-02-19,1,6.4,15:12,-4.4,6:24
"		108",서울,2020-02-20,4.6,10.8,15:47,-0.6,6:59
"		108",서울,2020-02-21,6.7,10.9,14:38,2.1,4:59
"		108",서울,2020-02-22,4,7.9,12:46,0,23:40
"		108",서울,2020-02-23,2.5,8,14:46,-2.5,6:45
"		108",서울,2020-02-24,7,12.2,14:08,0.8,5:14
"		108",서울,2020-02-25,6.7,9.4,16:42,4.7,24:00:00
"		108",서울,2020-02-26,6.4,10.4,15:13,2.8,4:23
"		108",서울,2020-02-27,6.1,12.5,15:28,1.3,6:57
"		108",서울,2020-02-28,4.5,5.9,10:13,3.6,13:35
"		108",서울,2020-02-29,7.7,13,15:50,4.5,0:01
"		108",서울,2020-03-01,5.8,10.1,13:14,3.2,5:11
"		108",서울,2020-03-02,3.4,7.6,15:46,0,7:23
"		108",서울,2020-03-03,4.8,10.5,13:29,0.3,4:41
"		108",서울,2020-03-04,2.2,4.6,10:46,-1.3,23:51
"		108",서울,2020-03-05,1.4,6.3,15:27,-2.8,6:54
"		108",서울,2020-03-06,3.7,10.1,16:21,-2.5,7:18
"		108",서울,2020-03-07,7,14.2,14:42,1.3,6:33
"		108",서울,2020-03-08,9.3,16.9,15:59,2.3,7:23
"		108",서울,2020-03-09,11.1,17.6,14:23,4.8,7:19
"		108",서울,2020-03-10,6.4,10.8,0:01,3.2,23:43
"		108",서울,2020-03-11,3.8,8.3,14:54,0,6:58
"		108",서울,2020-03-12,6.8,13.3,14:35,0.2,6:38
