"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		108",서울,2020-01-01,0.6,2.6,50,9:04,4.8,50,9:06
"		108",서울,2020-01-02,1.2,4,290,15:25,6.7,250,14:37
"		108",서울,2020-01-03,1.7,3.5,270,14:22,5.8,270,11:22
"		108",서울,2020-01-04,1.9,4.5,320,12:28,8.5,340,12:06
"		108",서울,2020-01-05,1.1,2.9,70,23:35,4.4,180,13:12
"		108",서울,2020-01-06,3.1,5.4,70,17:39,8.8,70,15:05
"		108",서울,2020-01-07,4,6.3,70,18:46,9.5,90,20:15
"		108",서울,2020-01-08,3.3,6.3,270,5:50,11.8,250,0:49
"		108",서울,2020-01-09,2.3,4.3,320,12:23,7.2,270,10:49
"		108",서울,2020-01-10,1.5,3.7,320,14:08,5.5,320,18:10
"		108",서울,2020-01-11,1.9,4.8,340,19:56,7,320,19:49
"		108",서울,2020-01-12,2.4,4.1,290,12:16,6.8,290,17:14
"		108",서울,2020-01-13,2.3,4.9,320,12:18,8.3,270,14:04
"		108",서울,2020-01-14,1.6,3.3,320,14:28,5.5,320,15:16
"		108",서울,2020-01-15,1.9,4.5,320,14:18,8,290,14:11
"		108",서울,2020-01-16,1.6,4.4,340,17:14,6.9,320,17:09
"		108",서울,2020-01-17,1.5,3.8,320,19:27,6.7,320,19:52
"		108",서울,2020-01-18,1.8,4.2,270,17:39,6.8,290,16:36
"		108",서울,2020-01-19,2.2,6.1,320,14:59,10.9,290,12:43
"		108",서울,2020-01-20,2.5,5.7,270,16:36,10.4,290,17:59
"		108",서울,2020-01-21,1.4,3.5,320,1:42,5.6,70,10:38
"		108",서울,2020-01-22,1.7,3.2,90,16:02,6.3,70,15:24
"		108",서울,2020-01-23,2,4.7,320,19:38,6.9,320,13:13
"		108",서울,2020-01-24,1.7,3.7,320,17:37,6.4,320,16:48
"		108",서울,2020-01-25,1.5,3.9,320,18:51,6.8,320,19:41
"		108",서울,2020-01-26,2.7,6.1,70,19:48,11.1,90,21:22
"		108",서울,2020-01-27,4.6,7,70,16:49,13.7,90,7:20
"		108",서울,2020-01-28,2.6,5.4,70,20:28,8.8,70,20:30
"		108",서울,2020-01-29,2.1,3.6,70,19:21,5.8,50,9:47
"		108",서울,2020-01-30,1.8,3,320,14:33,5.7,290,17:48
"		108",서울,2020-01-31,2.3,4.4,270,14:35,8.1,230,15:45
"		108",서울,2020-02-01,1.7,4.7,270,14:57,7.7,320,14:34
"		108",서울,2020-02-02,1.8,4.7,320,18:21,7.3,290,18:15
"		108",서울,2020-02-03,3.1,5.7,270,14:48,9,290,14:19
"		108",서울,2020-02-04,2.8,6.2,340,20:59,10.8,340,23:51
"		108",서울,2020-02-05,3.3,5.5,320,1:54,10.2,320,0:50
"		108",서울,2020-02-06,1.9,4,290,20:18,7,290,20:05
"		108",서울,2020-02-07,2,3.5,320,14:40,6.9,340,15:23
"		108",서울,2020-02-08,3,5.3,340,12:00,8.9,270,15:38
"		108",서울,2020-02-09,2,4.4,270,13:14,8,230,15:53
"		108",서울,2020-02-10,1.7,4.2,320,13:12,7.8,360,13:34
"		108",서울,2020-02-11,1.6,3.6,70,8:52,5.7,90,8:47
"		108",서울,2020-02-12,2.2,5,70,12:26,7.9,70,11:50
"		108",서울,2020-02-13,1.7,3.2,200,15:06,5.3,200,11:27
"		108",서울,2020-02-14,1.2,3,200,14:38,4.9,320,1:27
"		108",서울,2020-02-15,2.7,5,70,4:56,9,320,20:35
"		108",서울,2020-02-16,4,6.6,270,14:07,11.5,270,14:00
"		108",서울,2020-02-17,3.4,5.6,320,17:02,9.4,320,16:59
"		108",서울,2020-02-18,2.3,4.1,290,14:58,6.6,290,9:16
"		108",서울,2020-02-19,1.5,3.2,270,15:04,5.4,250,14:15
"		108",서울,2020-02-20,1.7,3.3,290,14:44,6,270,14:54
"		108",서울,2020-02-21,2.2,5.3,250,20:50,9.7,250,20:49
"		108",서울,2020-02-22,4,8.2,320,13:24,14.4,290,13:19
"		108",서울,2020-02-23,2,4.2,270,14:35,8.1,290,14:34
"		108",서울,2020-02-24,1.6,3.4,230,14:45,6.2,250,14:42
"		108",서울,2020-02-25,4.2,6.8,70,16:03,12.4,90,16:46
"		108",서울,2020-02-26,2.1,4,340,14:11,6.6,70,0:24
"		108",서울,2020-02-27,2,4.4,250,17:47,7,200,17:40
